TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
GSK,GTR13,Track_1369,3,3,14,0,0,0,0,0,23406.4421,0,23406.4421,11.64174112,292.3313824,20.84198174,0,0.002289469,0.012542404,2.03E-04,9.96E-04,0.00328187,1.248917954,53.58832475,22.58254316,0.217243983,4.97E-04,0.217243983,4.02E-04
GSK,GTR13,Track_1371,5,5,13,1,0,0,0,1,23406.4421,0,23406.4421,9.098216758,512.7426339,40.66651979,0,0.001712502,0.009771446,8.20E-05,0.001031103,0.002676639,1.145385137,37.14782113,12.14854827,0.244919257,3.89E-04,0.226981085,9.06E-04
GSK,GTR13,Track_1372,6,6,10,0,0,0,0,0,16204.45991,0,16204.45991,16.24394597,276.6107826,72.89082337,0,0.001508755,0.006628203,2.79E-04,0.001032034,0.001980023,1.234191763,24.44856445,16.24394597,0.664413078,0.001002437,0.664413078,5.07E-04
GSK,GTR13,Track_1373,7,7,13,0,0,0,0,0,21605.94655,0,21605.94655,9.778478604,541.57905,64.96582664,0,0.00262363,0.01474553,1.56E-04,8.59E-04,0.004098605,1.286965288,56.68601157,18.70457363,0.172502498,4.53E-04,0.172502498,9.79E-04
GSK,GTR13,Track_1374,8,8,14,0,0,0,0,0,23406.4421,0,23406.4421,2.95794225,504.1392772,93.41013377,0,8.32E-04,0.0027353,8.12E-05,7.71E-04,6.56E-04,1.478416758,19.47320402,6.649814397,0.151898077,1.26E-04,0.151898077,6.74E-04
GSK,GTR13,Track_1375,9,9,13,0,0,0,0,0,21605.94655,0,21605.94655,7.043706629,550.7843866,95.19153549,0,0.001520435,0.003113051,2.89E-04,0.001867211,9.07E-04,1.356619633,32.8504393,9.019627943,0.214417426,3.26E-04,0.214417426,7.14E-04
GSK,GTR13,Track_1376,10,10,14,0,0,0,0,0,23406.4421,0,23406.4421,2.341152226,288.8479914,95.02475012,0,5.93E-04,0.001389186,7.98E-05,6.73E-04,3.81E-04,1.435212382,13.87719946,3.710154496,0.168704949,1.00E-04,0.168704949,5.95E-04
GSK,GTR13,Track_1377,11,11,14,0,0,0,0,0,23406.4421,0,23406.4421,4.983018198,522.8683257,113.5064963,0,6.63E-04,0.002230628,6.38E-05,4.05E-04,6.63E-04,1.313900743,15.52181269,4.983018198,0.321033264,2.13E-04,0.321033264,5.55E-04
GSK,GTR13,Track_1378,12,12,14,0,0,0,0,0,23406.4421,0,23406.4421,3.304134945,542.3777224,112.6593224,0,8.82E-04,0.002331669,1.79E-04,7.68E-04,6.01E-04,1.151994416,20.64657466,4.198159488,0.160033081,1.41E-04,0.160033081,7.99E-04
GSK,GTR13,Track_1379,13,13,14,0,0,0,0,0,23406.4421,0,23406.4421,2.319878289,299.6667133,119.7396756,0,6.16E-04,0.001355451,8.81E-05,6.52E-04,3.46E-04,1.528982154,14.42697055,7.360977833,0.160801485,9.91E-05,0.160801485,4.80E-04
